Genres_id,Genres
1,Art & Design
2,Auto & Vehicles
3,Beauty
4,Books & Reference
5,Business
6,Comics
7,Communication
8,Dating
9,Education
10,Entertainment
11,Events
12,Puzzle
13,Casual
14,Simulation
15,Strategy
16,Role Playing
17,Sports;Action_&_Adventure
18,Board;Brain_Gaes
19,Video Players & Editors
20,Racing;Pretend_Play
21,Adventure
22,Action
23,Arcade
24,Racing
25,Trivia;Education
26,Card;Action_&_Adventure
27,Health_&_Fitness;Action_&_Adventure
28,Books_&_Reference;Education
29,Counication;Creativity
30,usic;usic_&_Video
31,Lifestyle;Education
32,Board;Action_&_Adventure
33,Health_&_Fitness;Education
34,usic_&_Audio;usic_&_Video
35,Board;Pretend_Play
36,Books_&_Reference;Creativity
37,Food & Drink
38,Board
39,Sports
40,Trivia
41,Casino
42,Card
43,Music
44,Word
45,Health & Fitness
46,House & Home
47,Libraries & Deo
48,Lifestyle
49,Maps & Navigation
50,Medical
51,News & Magazines
52,Office
53,Parenting
54,Personalization
55,Photography
56,Productivity
57,Shopping
58,Social
59,Tools
60,Travel & Local
61,Travel_&_Local;Action_&_Adventure
62,Weather
